                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.2205,                 3.1266,                 1.3526,                0.00297,                      1,                0.68358,                0.46895,                0.84831,                 3.0563,                 1.1145,                 0.0784,                 0.0024,                 0.0024
                      1,                 1.1729,                 2.0092,                 1.2522,                  0.656,                 0.2713,                0.78666,                0.54157,                0.93589,                 2.5936,                 1.1209,               0.055851,              0.0048515,              0.0048515
                      2,                 1.1515,                  1.626,                 1.2459,                0.94526,                0.42131,                0.83804,                0.60854,                0.92505,                 2.4258,                 1.1634,               0.033253,              0.0072535,              0.0072535
                      3,                 1.2328,                 1.6438,                 1.2638,                0.87692,                0.80017,                0.87876,                 0.6414,                 0.9438,                 1.5938,                  1.216,               0.010606,               0.009606,               0.009606
                      4,                 1.2233,                 1.5211,                 1.2708,                0.72599,                0.55987,                0.64186,                0.35442,                 1.5454,                 3.0991,                 1.7116,               0.009604,               0.009604,               0.009604
                      5,                 1.2511,                 1.4774,                 1.2985,                0.78643,                0.78595,                0.80811,                0.54001,                 1.1712,                 1.8832,                 1.3925,               0.009604,               0.009604,               0.009604
                      6,                 1.2617,                 1.4053,                 1.2765,                0.71597,                0.76111,                 0.8301,                0.49529,                 1.2325,                 2.2543,                 1.3945,               0.009505,               0.009505,               0.009505
                      7,                  1.234,                 1.3844,                 1.2647,                0.76786,                0.65552,                0.74287,                0.32808,                 1.7638,                 1.9352,                 1.7527,               0.009406,               0.009406,               0.009406
                      8,                 1.2315,                 1.3081,                 1.2645,                0.83623,                0.81467,                0.89797,                 0.6415,                 1.0377,                  1.266,                 1.2855,               0.009307,               0.009307,               0.009307
                      9,                 1.1994,                 1.2564,                 1.2683,                0.84848,                0.83361,                0.93046,                0.65141,                 1.0989,                 1.1947,                 1.2486,               0.009208,               0.009208,               0.009208
                     10,                 1.1956,                 1.1625,                 1.2247,                0.86217,                0.83612,                0.92164,                0.65444,                  1.056,                 1.1748,                 1.2508,               0.009109,               0.009109,               0.009109
                     11,                 1.2673,                 1.2075,                 1.2833,                0.47811,                0.34197,                0.29326,                 0.1315,                 2.5283,                 2.9628,                 2.3943,                0.00901,                0.00901,                0.00901
                     12,                 1.2053,                  1.112,                 1.2329,                0.78092,                0.82207,                0.83967,                0.60323,                 1.0565,                 1.2468,                 1.2528,               0.008911,               0.008911,               0.008911
                     13,                 1.2155,                 1.1096,                 1.2273,                0.80694,                0.84615,                0.85507,                 0.6202,                 1.0508,                 1.2776,                 1.2464,               0.008812,               0.008812,               0.008812
                     14,                 1.1733,                 1.0505,                 1.2204,                0.75863,                0.82441,                0.81732,                0.56855,                 1.0808,                 1.2553,                 1.2772,               0.008713,               0.008713,               0.008713
                     15,                 1.1723,                 1.0377,                 1.2374,                0.79333,                0.81884,                0.84597,                0.61171,                  1.088,                 1.1562,                  1.195,               0.008614,               0.008614,               0.008614
                     16,                 1.1511,                 1.0175,                  1.218,                0.94162,                0.75231,                0.88718,                0.63462,                 1.0144,                0.98501,                 1.1886,               0.008515,               0.008515,               0.008515
                     17,                 1.0953,                0.94538,                 1.1808,                0.77557,                0.82191,                0.84806,                0.52944,                 1.3262,                 1.0814,                 1.5605,               0.008416,               0.008416,               0.008416
                     18,                 1.1168,                0.95621,                 1.1638,                0.81103,                0.86126,                0.86293,                0.62896,                 1.0045,                0.97396,                 1.1728,               0.008317,               0.008317,               0.008317
                     19,                   1.12,                0.96254,                 1.1795,                0.87136,                0.84365,                0.88116,                0.68336,                0.87475,                 0.9115,                 1.1072,               0.008218,               0.008218,               0.008218
                     20,                 1.1026,                0.92588,                 1.1955,                0.85524,                0.86037,                0.86643,                0.63339,                 1.0275,                  0.987,                 1.1978,               0.008119,               0.008119,               0.008119
